facil  ;sintaxe             ;Soma Simples        ;Leia dois valores inteiros, no caso para variaveis A e B. A seguir, calcule a soma entre elas e atribua a variavel SOMA. A seguir escrever o valor desta variavel.
medio  ;String              ;Datas              ;Leia uma cadeia de caracteres no formato "DD/MM/AAAA" e copie o dia, mes e ano para 3 variaveis inteiras. Antes disso, verifique se as barras estao no lugar certo, e se DD, MM  e AAAA sao numericos.
medio  ;String              ;Concatenar         ;Implemente um programa que leia duas strings, str1 e str2, e um valor inteiro positivo N. Concatene não mais que N caracteres da string str2 a string str1 e termine str1 com ‘\0’.
medio  ;String              ;Formatar Numero     ;A formatacao de numeros e de carater regional e facilita a leitura do mesmo. Um numero no Brasil e formatado usando como delimitador de milhar o simbolo ?.? e como delimitador de casas decimais o simbolo ?,?. Assim, o numero 100000220230,90 se transforma quando formatado em: 100.000.220.230,90. Em linguagem C e normal que o delimitador oficial de casa decimal seja o . e que o , nao seja usado.Assim, sabendo deste problema, escreva um programa em C para formatar numeros no padrao brasileiro, utilizando ?.? e ?,? conforme exemplo do enunciado. E proibido usar bibliotecas prontas
medio  ;String              ;Vertica             ;Faca um programa para encontrar todas as ocorrencias de uma determinada palavra informada pelo usuario em uma matriz de caracteres que tambem foi informada pelo usuario. A palavra pode ocorrer na vertical. Use string.h.
medio  ;String              ;Horizontal          ;Faca um programa para encontrar todas as ocorrencias de uma determinada palavra informada pelo usuario em uma matriz de caracteres que tambem foi informada pelo usuario. A palavra pode ocorrer na horizontal. Use string.h.
dificil;String              ;Transversais        ;Faca um programa para encontrar todas as ocorrencias de uma determinada palavra informada pelo usuario em uma matriz de caracteres que tambem foi informada pelo usuario. A palavra pode ocorrer na somente nas transversais . Use string.h
dificil;String              ;Matriz de Caractere ;Faca um programa para encontrar todas as ocorrencias de uma determinada palavra informada pelo usuario em uma matriz de caracteres que tambem foi informada pelo usuario. A palavra pode ocorrer na horizontal e vertical. A palavra tambem pode estar em ordem inversa. Use string.h.
dificil;String              ;Palavra Palindroma  ;Escreva um programa que teste se uma palavra e palindroma (quando lida ao inverso e igual).
dificil;String              ;Contadores 2        ;Escreva um programa que leia N palavras (ate 1000) na forma de uma frase (texto qualquer). Depois o programa deve codificar a frase, gerando uma nova frase, onde repeticoe de letras sao substituidas por contadores. No minimo 3 letras repetidas em sequencia.Ex.: aaaaabbbbbtttt yyyyuuuubbb bbbbaaaa. Res:a5b5t4 y4y4b3 b4a4
dificil;String              ;Mesmas Palavras     ;Escreva um programa que verifique se duas frases possuem as mesmas palavras. O programa deve ler a primeira frase, a segunda frase e depois descobrir as palavras de cada frase e compara-las afim de saber se ambas possuem exatamente as mesmas palavras. Nao custa lembrar que as frases podem ter as mesmas palavras numa ordem diferente.
dificil;String              ;Sequencia de Caracte;Escreva um programa para ler uma sequencia qualquer de caracteres. Os caracteres lidos somente podem ser letas de a-z ou A-Z. Qualquer outro caractere deve ser excluido. O programa a ser implementado deve codificar a sequencia de caracteres lidos de acordo com a quantizacao de componentes iguais. O resultado final serao as sequencias dentro da entrada inicial, seguida pela quantidade que ocorrem separados por virgula.
dificil;String              ;Balanco             ;Imagine que um certo comerciante precisa de um programa que registre compras e vendas no momento que forem realizadas, dia-a-dia. No maximo, esse comerciante consegue realizar 100 compras e vendas. Cada compra ou venda possui um texto descritivo, um valor, e uma data. A descricao possui palavras chave, como ?Compra insumo X?, ?Venda produto Z?. Seu trabalho e escrever um programa que dado o vetor dia-a-dia de compras e vendas, permita ao comerciante fazer um balanco do volume de venda de cada produto Z realizada e de cada compra do insumo X. O balanco deve conter o total em valor gastos no dia para cada item. Os nomes dos itens X e Z podem ser compostos
dificil;String              ;Ordena Palavras     ;Imagine que voce tenha em maos um conjunto de palavras quaisquer e deseja por curiosidade, ordenar essas palavras por ordem alfabetica. E claro que voce pode fazer um programa que desempenhe essa funcao em C. E para completar, voce deve gerar um resultado, com as palavras ordenadas, e sem repeticao. A entrada consiste num conjunto qualquer de 100 palavras, sendo cada uma delas de tamanho inferior a 20 caracteres.
dificil;String              ;Substituir          ;Escreva uma funcao que receba duas strings como parametro. A funcao troca as ocorrencias da segunda string na primeira string.
dificil;String              ;Fraudes             ;Para evitar fraudes, uma maquina de preenchimento de cheques deve preencher as dezenas nao utilizadas no valor numerico com asteriscos. Considerando que na loja X nao sao aceitos cheques de valores maiores que R$ 100.000,00, faca um programa que imprimia na tela o valor numerico do cheque e seu valor por extenso.
facil  ;Funcoes             ;Troca de Valores    ;Faça um módulo que troca o valor de uma variável a pelo de b e o de b pelo de a.
facil  ;Funcoes             ;Simplifica          ;Faça uma funcaoo chamada ‘simplifica’ que recebe como parametro o numerador e o denominador de uma fracao. Esta função deve simplificar a fração recebida dividindo o numerador e o denominador pelo maior fator possível. Por exemplo, a fração 36/60 simplifica para 3/5 dividindo o numerador e o denominador por 12. A func ¸ao deve modificar as variáveis passadas como parâmetro.
facil  ;Funcoes             ;Ordem Inversa       ; Crie um programa em C que receba um número e imprima ele na ordem inversa. Ou seja, se recebeu o inteiro 123, deve imprimir o inteiro 321.
facil  ;Funcoes             ;Dado                ; Crie uma funcao em linguagem C chamado Dado() que retorna, atraves de sorteio, um numero de 1 ate 6.
facil  ;Funcoes             ;Menor Valor         ;Crie uma funcao em linguagem C que receba 3 numeros e retorne o menor valor.
facil  ;Funcoes             ;Maior Valor         ;Crie uma funcao em linguagem C que receba 3 numeros e retorne o maior valor.
facil  ;Funcoes             ;Volume              ;Faca uma funcao que recebe por parametro o raio de uma esfera e calcula o seu volume (v = 4/3.P .R^3).
facil  ;Funcoes             ;principal secund    ;Faca uma funcao que recebe, por parametro, uma matriz A[3][3] e retorna a soma dos elementos da sua diagonal principal e da sua diagonal secundaria.
medio  ;Funcoes             ;Vetor Dinamico      ;Faca um programa que leia um valor n e crie dinamicamente um vetor de n elementos e passe esse vetor para uma funcao que vai ler os elementos desse vetor. Depois, no programa principal, o vetor preenchido deve ser impresso. Alem disso, antes de finalizar o programa, deve-se liberar a area de memoria alocada.
medio  ;Funcoes             ;Nota Mediana        ;Um programa de computador insere as notas de 41 alunos em um vetor de numeros reais. Faca um modulo que indique para o professor dessa disciplina qual e a nota mediana da turma. A nota mediana e a nota de um aluno que possui 20 notas menores ou iguais a ela e mais 20 notas menores ou iguais a ela.
medio  ;Funcoes             ;Maior Div Primo     ;Faca uma funcao que encontre os divisores de um numero qualquer e em seguida encontre o maior divisor primo do numero. O programa deve exibir a resposta para os numeros de 100 a 1000000.
medio  ;Funcoes             ;Multiplic Matriz    ;Dado 3 matrizes, A, B, e C, de tamanhos informados pelo usuario, e de valores tambem informados pelo usuario, escreva um programa, com o uso de funcoes, que multiplique as matrizes. Ao final, apresente o resultado na tela.
medio  ;Funcoes             ;Recursiva           ;Escreva uma funcao recursiva onde o usuario digite uma sequencia de numeros quaisquer, maiores que zero, e a funcao determine a quantidade de repeticoes de cada numero digitado.
medio  ;Funcoes             ;Baskara             ;Faca um procedimento que recebe por parametro os valores necessario para o calculo da formula de baskara e retorna, tambem por parametro, as suas raizes, caso seja possivel calcular.
medio  ;Funcoes             ;Fabrica             ;Faca uma funcao que recebe por parametro o tempo de duracao de uma fabrica expressa em segundos e retorna tambem por parametro esse tempo em horas, minutos e segundos.
medio  ;Funcoes             ;Converter Idade     ;Faca uma funcao que recebe a idade de uma pessoa em anos, meses e dias e retorna essa idade expressa em dias
medio  ;Funcoes             ;Fatorial            ;Faca uma funcao que receba um valor inteiro e positivo e calcula o seu fatorial.
medio  ;Funcoes             ;5 perfeitos         ;Faca um procedimento que retorna, por parametro, um vetor A(5) com os 5 primeiros numeros perfeitos.
dificil;Funcoes             ;Inverte Matriz      ;Faca um modulo que inverte uma matriz 20x20 (linhas viram colunas e colunas. viram linhas).
dificil;Funcoes             ;CPF                 ;Criar um tipo abstrato de dados que represente uma pessoa, contendo nome, data de nascimento e CPF. Crie uma variavel que e um ponteiro para este TAD (no programa principal). Depois crie uma funcao que receba este ponteiro e preencha os dados da  estrutura e tambem uma uma funcao que receba este ponteiro e imprima os dados da estrutura. Finalmente, faca a chamada a esta funcao na funcao principal.
dificil;Funcoes             ;Jogo Palavras       ;Implemente uma funcao de caca-palavras. Essa funcao deve receber uma matriz de letras e um vetor de strings. A funcao deve procurar cada palavra do vetor na matriz nas direcoes horizontais, verticais e diagonais (Sempre em ordem. Nao implemente ordem inversa) e ao encontrar cada string, informar qual a posicao que foi encontrado assim como a direcao (horizontal, vertical ou diagonal)
dificil;Funcoes             ;Imagem Integral     ;Uma observadora deseja um algoritmo que calcule a imagem integral de uma imagem. Sua ideia consiste em aumentar alguns processamentos. Uma imagem integral e uma nova imagem onde cada ponto e igual a soma de todos os pontos do quadrante superior ao ponto. Sabendo que uma imagem consiste numa matriz de inteiros positivo, escreva uma funcao que receba a imagem e suas dimensoes como parametro e retorne uma nova matriz que corresponda a imagem integral.
dificil;Funcoes             ;Sequencias 4        ;Escreva um programa para gerar sequencias de X dezenas aleatorias, que variam entre 1 e 60. As sequencias possuem dezenas que podem se repetir no maximo T vezes em todo o resultado. A quantidade N de sequencias, assim como X (representa a quantidade de dezenas na sequencia) e T (representa a quantidade maxima de repeticoes de dezenas entre todas as sequencias), devem ser informados pela entrada padrao. Cada sequencia deve ser numerada por um inteiro i, que varia entre 1, ... N. No final, as sequencias devem ser gravadas em um arquivo.
dificil;Funcoes             ;Pais e Filhos       ;Considere na forma de pais e filhos. Assim, a posicao 0 e pai das posicoes 1 e 2. A posicao 1 e dito filho a esquerda de 0. A posicao 2 e dita filho a direita de 0. As posicoes 1 e 2 tambem possuem filhos. Os filhos de 1 estao nas posicoes 3 e 4. Os filhos de 2 estao na posicao 5 e 6. As denominacoes dos filhos sao as mesmas, ou seja, sempre existe um filho a esquerda e um a direita.O filho a esquerda significa que e menor que o pai (em valor). O filho a direita significa que e maior ou igual ao pai (em valor). Este vetor NAO pode ser acessado em sequencia. SEMPRE para acessar qualquer posicao do vetor O ALGORITMO DEVE PERCORRER A HIERARQUIA conforme acima. Considere o vetor com o tamanho fixo de 100 elementos. Os seus elementos sao do tipo inteiro. O vetor esta parcialmente preenchido e obedece as regras da hierarquia. a) Implemente uma busca recursiva de um dado valor informado pelo usuario no vetor explanado acima. 
dificil;Funcoes             ;Melhor Resultado    ;Um pesquisador coletou uma serie de resultados sobre dois parametros X, Y, Z. Os resultados sao calculados sobre os criterios A, B e C que variam de 0 a 1 (float), sendo que o valor 1 e o melhor. O pesquisador possui os seis vetores separadamente em maos. Todos os vetores tem o mesmo tamanho N. O pesquisador deseja saber quais os parametros X, Y e Z maximizam os valores de A, B e C ao mesmo tempo, sendo que em ordem de importancia o criterio A e mais importante que B que por sua vez e mais importante que o C. Escreva uma funcao que implemente essa funcionalidade para o pesquisador. Essa funcao deve ao final imprimir o melhor resultado encontrado de X, Y e Z.
dificil;Funcoes             ;Futebol             ;Considere uma partida de futebol entre duas equipes A x B, cujo placar final e m x n, em que m e n sao numeros de gols marcados por A e B, respectivamente. Escreva um algoritmo recursivo que imprima todas as possiveis sucessoes de gols marcados. Por exemplo, para um placar final de 3 x 1, as possiveis sucessoes de gols sao ?AAAB?, ?AABA?, ?ABAA? e ?BAAA?.
facil  ;Arquivos            ;Contar Linhas       ;Faca um programa que receba do usuario um arquivo texto e mostre na tela quantas linhas esse arquivo possui.
facil  ;Arquivos            ;Substituir          ;Faca um programa que receba do usuario um arquivo texto criado por voce. Crie outro arquivo texto contendo o texto do arquivo de entrada, mas com as vogais substituidas por /*/.
facil  ;Arquivos            ;Substituir 2        ;Escreva um programa que leia um texto de um arquivo e duas palavras e substitua todas as ocorrencias da primeira palavra com a segunda palavra.
medio  ;Arquivos            ;Agenda de CTT       ;Faca um programa gerenciar uma agenda de contatos. Para cada contato armazene o nome, o telefone e o aniversario (dia e mes). O programa deve permitir: (a) inserir contato. (b) remover contato. (c) pesquisar um contato pelo nome. (d) listar todos os contatos. (e) listar os contatos cujo nome inicia com uma dada letra. (f) imprimir os aniversariantes do mes.
medio  ;Arquivos            ;Informacoes ALUNO   ;Crie um programa que receba como entrada o numero de alunos de uma disciplina. Aloque dinamicamente dois vetores para armazenar as informacoes a respeito desses alunos. O primeiro vetor contem o nome dos alunos e o segundo contem suas notas finais. Crie um arquivo que armazene, a cada linha, o nome do aluno e sua nota final. Use nomes com no maximo 40 caracteres. Se o nome nao contem 40 caracteres, complete com espaco em branco.
medio  ;Arquivos            ;Cadastro            ;Faca um programa que recebe um vetor de 10 numeros, converta cada um desses numeros para binario e grave a sequencia de 0s e 1s em um arquivo texto. Cada numero deve ser gravado em uma linha.
medio  ;Arquivos            ;Busca Arquivo       ;Escreva uma funcao que busque em um arquivo informado pelo usuario, uma string tambem informada pelo usuario. A funcao nao pode carregar o arquivo totalmente em memoria.
dificil;Arquivos            ;Listas Musicas      ;Um usuario possui varias listas de musicas em diretorios diferentes. Ele tambem possui essas listas de musicas em um arquivo que possui todos os nomes de musicas. O problema e que ele possui musicas repetidas e gostaria de remove-las. Faca um programa que le os nomes dos arquivos de musica com o caminho completo da musica, encontre as repeticoes e avise o usuario Obs: Segue o formato da entrada onde se encontra as musicas. Preste atencao!:  /Volumes/Pessoal/Musica/bossa/13 - Sei la - Tom Jobim & Miucha part. esp. Chico Buarque.mp3 . /Volumes/Pessoal/Musica/bossa/Leila Pinheiro - Gostava Tanto De Voce.mp3. /Volumes/Pessoal/Musica/mpb/Leila Pinheiro - Gostava Tanto De Voce.mp3
dificil;Arquivos            ;Copiar o Inverso    ;Implemente uma funcao copia de arquivos copyfile_inverse. Esta funcao copia um arquivo A para um arquivo B de maneira inversa. Ou seja, a funcao le o arquivo do final para o inicio
dificil;Arquivos            ;Indexacao           ;Escreva uma funcao que receba como parametro o nome de um arquivo e retorne uma lista (ou vetor) que contenha a indexacao de todas as palavras do arquivo. Entende-se por indexacao como a localizacao da primeira letra de cada palavra no arquivo. Como o arquivo pode possuir palavras repetidas, portanto uma mesma palavra na lista (ou vetor) pode conter diferentes localizacoes no arquivo que devem ser guardadas na forma de um mesmo registro.
dificil;Arquivos            ;Busca Linha         ;Dados dois arquivos, escreva uma funcao que abra os dois arquivos de texto e compare os seus conteudos linha a linha. A funcao deve pesquisar cada linha do primeiro arquivo no segundo arquivo*. Cada vez que encontrar a linha inteira (exatamente igual) no segundo arquivo, a funcao imprime na tela uma mensagem avisando o numero da linha semelhante.  *Atencao: uma linha num arquivo e finalizada com um \n. O tamanho da linha pode ser infinito
dificil;Arquivos            ;Binarios            ;Faca um programa que recebe um vetor de 10 numeros, converta cada um desses numeros para binario e grave a sequencia de 0s e 1s em um arquivo texto. Cada numero deve ser gravado em uma linha. 
facil  ;struct e Listas     ;Nota Alunos         ;Um professor deseja calcular a nota das provas dos alunos da seguinte maneira: o aluno que recebeu a melhor avaliacao tera sua nota mudada para 10. O segundo melhor, tera uma proporcao da melhor nota de 10. Ate que o ultimo, que obteve a pior avaliacao, tera nota 6.0. Escreva um programa que receba os seguintes dados: quantidade de alunos, nome dos alunos, nota de cada um deles. Depois calcule os novas notas conforme o criterio solicitado e exiba na tela os resultados.
facil  ;struct e Listas     ;Alunos 2            ;Construa uma estrutura aluno com nome, numero de matricula e curso. Leia do usuario a informacao de 5 alunos, armazene em vetor dessa estrutura e imprima os dados na tela.
facil  ;struct e Listas     ;Informacoes 1       ;Peca ao usuario para digitar seus dados pessoais (Nome, Endereco, Data de Nascimento, Cidade, CEP, email), verifique se as informacoes de Data de Nascimento, CEP e email fazem sentido, e mostre ao usuario as informacoes, se estao todas corretas, ou mostre que alguma informacao estava errada.
facil  ;struct e Listas     ;Informaoes  2       ;Utilizando uma estrutura, faca um programa que permita a entrada de nome, endereco e telefone de 5 pessoas e os imprima em ordem alfabetica.
facil  ;struct e Listas     ;Informacoes 3       ;Implemente um programa que leia o nome, a idade e o endereco de uma pessoa e armazene os dados em uma estrutura.
medio  ;struct e Listas     ;Dicionario          ;Escreva um programa que permita o usuario carregar palavras e seus significados. O usuario ira definir quantas palavras deseja carregar. Em seguida, permita ao usuario fazer buscas nesse dicionario, onde ele deve informar parte (ou toda) da palavra que deseja saber o significado.
medio  ;struct e Listas     ;Estacionamento      ;Um usuario possui uma estacionamento de carros e deseja organiza-los em uma lista. Cada carro para ele possui uma placa, modelo, ano e proprietario. Sua tarefa consiste em implementar um programa que permita cadastrar todos os carros na lista e depois permita fazer consultas pelos termos de buscar placa, ou modelo ou proprietario.
medio  ;struct e Listas     ;Lista String        ;Implemente uma função que realize a inserção ordenada de palavras numa lsita de strings
medio  ;struct e Listas     ;Alunos              ;O Prefeito de Sao Luis deseja encontrar qual o melhor lugar para construir uma escola com capacidade N de discentes. O que o prefeito tem em maos e um mapa que diz onde esta cada aluno da cidade. Sua tarefa e construir um programa que indique onde e o melhor lugar de se construir a escola, considerando que o melhor lugar e aquele que preencha as vagas da escola levando em consideracao a menor distancia em relacao aos alunos. A entrada do programa consiste na localizacao (2D) no mapa das casas dos alunos, assim como a quantidade de alunos dentro da casa e a capacidade total (N). No maximo, o mapa possui 1000 entradas. Inicialmente o usuario informara a quantidade de entradas (inferior a 1000) e em seguida a posicao (X,Y) e q quantidade de alunos (Q) de cada casa.
dificil;struct e Listas     ;Lista sem Rep       ;Implemente uma funcao que una duas listas de inteiros em apenas uma lista sem repeticoes.
dificil;struct e Listas     ;Lista Ordenada      ;Implemente uma funcao de insercao ordenada de elementos numa lista de inteiros.
dificil;struct e Listas     ;Lista Palavras      ;Implemente uma progama que permita ao usuario informar um numero qualquer de palavras e seus significados. Cada um dos pares devera ser guardado numa lista. Depois o usuario deseja encontrar as palavras atraves de metodos de busca pela palavra ou pelo significado
dificil;struct e Listas     ;Menor Quadrado      ;Dado uma colecao qualquer de pontos cartesianos, escreva um algoritmo que calcule o menor quadrado envolvente destes pontos.
dificil;struct e Listas     ;Menor Circulo       ;Dado uma colecao qualquer de pontos, escreva um algoritmo que calcule o menor circulo envolvente destes pontos.
dificil;struct e Listas     ;Alfabetica          ;Escreva uma funcao para ordenar palavras em ordem alfabetica crescente. As palavras possuem tamanho variavel. Cada entrada e constituida por um identificador ID e por uma palavra word (ou seja, vai ser uma struct). A saida deve apresentar cada ID de entrada juntamente com a palavra correspondente word ordenados alfabeticamente. Obs.: Os caracteres possiveis sao [a-z] e [A-Z].
